2024_08_04_20_24_03_156,0.1,0.09261229,757,797,5.358166,-20.00245,0.7576312,0.02232315,0.04461775,0.02123019,0.18,0.004241995,-0.01554521,0.008862772
2024_08_04_20_24_03_196,0.1,0.0976186,770,816,5.365797,-20.00214,0.7573071,0.02250744,0.044005,0.02173672,0.19,0.003561889,-0.01505681,0.01291709
2024_08_04_20_24_03_237,0.1,0.0976186,783,834,5.373272,-20.00177,0.7569999,0.02268214,0.04340781,0.02222355,0.19,0.004025483,-0.01521594,0.0103142
2024_08_04_20_24_03_277,0.1,0.0976186,799,853,5.380997,-20.00151,0.756656,0.02397963,0.04165531,0.02276257,0.2,0.04957398,-0.05858521,0.02125936
2024_08_04_20_24_03_311,0.1,0.1101337,815,870,5.387977,-20.00142,0.7562738,0.02567341,0.03963583,0.02337403,0.21,0.04760861,-0.05545364,0.02526625
2024_08_04_20_24_03_344,0.1,0.1226488,831,887,5.395,-20.00132,0.7558472,0.02720419,0.03779276,0.02416073,0.21,0.04324001,-0.05474131,0.0239772
2024_08_04_20_24_03_383,0.1,0.1226488,851,909,5.403759,-20.00116,0.755281,0.02891021,0.03568842,0.02520895,0.22,0.0402441,-0.05189271,0.02513613
2024_08_04_20_24_03_422,0.1,0.1226488,870,930,5.41227,-20.00097,0.7547392,0.03034885,0.03385385,0.02622947,0.22,0.03363319,-0.04571441,0.02563163
2024_08_04_20_24_03_462,0.1,0.1226488,891,953,5.42162,-20.00071,0.7541763,0.0317257,0.03238135,0.02742364,0.23,0.03148393,-0.01385857,0.03494215
2024_08_04_20_24_03_500,0.1,0.1226488,911,974,5.430662,-20.0005,0.7536514,0.03284637,0.03197464,0.02878185,0.24,0.02654697,-0.00702644,0.03682174
2024_08_04_20_24_03_534,0.1,0.1351642,929,994,5.438835,-20.00028,0.7531962,0.03373639,0.03174798,0.03009106,0.25,0.02475664,-0.00424061,0.04259662
2024_08_04_20_24_03_573,0.1,0.1401702,950,1018,5.448781,-19.99997,0.7526556,0.03473188,0.03156556,0.03178376,0.26,0.02388229,-0.002266005,0.04542536
2024_08_04_20_24_03_613,0.1,0.1401702,974,1043,5.459485,-19.99959,0.7520828,0.03575081,0.03142596,0.0336778,0.26,0.02317883,-0.001176488,0.04667178
2024_08_04_20_24_03_655,0.1,0.1576915,997,1069,5.470367,-19.99921,0.7515046,0.03677932,0.03130788,0.03574974,0.27,0.02320262,-0.000870941,0.05449188
2024_08_04_20_24_03_692,0.1,0.1576915,1018,1093,5.480288,-19.9988,0.7509794,0.03769225,0.03121812,0.03777481,0.27,0.02278442,-0.000235047,0.05493456
2024_08_04_20_24_03_730,0.1,0.1626975,1041,1119,5.490822,-19.99837,0.7504227,0.03865632,0.03112749,0.03993303,0.27,0.02365163,-0.000280901,0.05692369
2024_08_04_20_24_03_771,0.1,0.1727098,1065,1145,5.501951,-19.99788,0.7498347,0.03968323,0.03102952,0.0423416,0.27,0.02358157,-0.000227015,0.06136884
2024_08_04_20_24_03_812,0.1,0.1727098,1088,1172,5.513109,-19.99734,0.7492458,0.04070642,0.03093561,0.04487799,0.27,0.02288838,0.00053019,0.06205453
2024_08_04_20_24_03_850,0.1,0.1727098,1110,1197,5.523492,-19.99685,0.7486932,0.04169125,0.03118094,0.04718056,0.28,0.02358577,0.01504368,0.05935921
2024_08_04_20_24_03_899,0.1,0.1802189,1138,1228,5.536571,-19.99621,0.7478768,0.04275811,0.0316174,0.05005464,0.28,0.009224521,-0.002550138,0.06253416
2024_08_04_20_24_03_932,0.1,0.1902309,1160,1252,5.546667,-19.99568,0.7468584,0.04306704,0.03149166,0.05239397,0.29,0.005773131,0.000482267,0.06920886
2024_08_04_20_24_03_976,0.1,0.1902309,1187,1283,5.559466,-19.99493,0.7455853,0.04339088,0.03142647,0.05542091,0.3,0.00530234,0.00221888,0.07137553
2024_08_04_20_24_04_018,0.1,0.1902309,1213,1313,5.571966,-19.99416,0.7443534,0.043703,0.03139586,0.05839034,0.31,0.005305213,0.002674566,0.07304288
2024_08_04_20_24_04_061,0.1,0.1902309,1240,1343,5.584358,-19.99335,0.7431372,0.04401726,0.03137297,0.06133633,0.31,0.005640119,0.002664703,0.07410574
2024_08_04_20_24_04_095,0.1,0.1902309,1266,1372,5.596572,-19.99252,0.7419412,0.04433364,0.03135012,0.06424183,0.32,0.005738945,0.002846954,0.07473951
2024_08_04_20_24_04_134,0.1,0.1902309,1292,1401,5.608867,-19.99166,0.7407919,0.04451687,0.03144691,0.06714468,0.32,-0.03973287,0.04557367,0.06449737
2024_08_04_20_24_04_169,0.1,0.2102553,1313,1426,5.619355,-19.99066,0.7404857,0.04237302,0.03378157,0.06955697,0.32,-0.07325669,0.07748518,0.0740046
2024_08_04_20_24_04_210,0.1,0.2102553,1338,1454,5.631368,-19.98933,0.740148,0.03956499,0.03669329,0.07261322,0.32,-0.07493886,0.07757675,0.07560405
2024_08_04_20_24_04_249,0.1,0.2102553,1364,1484,5.644355,-19.98786,0.7397776,0.03655455,0.03981528,0.07591926,0.32,-0.07424612,0.0772603,0.07589565
2024_08_04_20_24_04_288,0.1,0.2102553,1388,1511,5.655928,-19.98675,0.7399376,0.0355058,0.04283886,0.07948258,0.31,-0.01918853,0.07654274,0.09038084
2024_08_04_20_24_04_327,0.1,0.2102553,1411,1539,5.667718,-19.98573,0.7401464,0.03496305,0.04565545,0.08312578,0.3,-0.01650095,0.07141253,0.08703099
2024_08_04_20_24_04_367,0.1,0.2102553,1433,1565,5.678663,-19.9849,0.7403488,0.03508342,0.04771109,0.08692185,0.28,0.0015413,0.05079419,0.09341074
2024_08_04_20_24_04_407,0.1,0.2102553,1455,1591,5.68914,-19.98411,0.7405269,0.03528156,0.04957194,0.09060074,0.26,-0.000673658,0.04885148,0.08740935
2024_08_04_20_24_04_445,0.1,0.2152613,1474,1614,5.698572,-19.98336,0.740678,0.03538649,0.05128064,0.09391478,0.25,-0.002330921,0.04758216,0.08502671
2024_08_04_20_24_04_479,0.1,0.2277765,1490,1634,5.70692,-19.98267,0.7408088,0.03543123,0.05282557,0.09702642,0.24,-0.004278617,0.04695893,0.08702804
2024_08_04_20_24_04_519,0.1,0.2277765,1509,1656,5.715933,-19.98188,0.7409477,0.03541631,0.05453218,0.1004342,0.23,-0.005799526,0.04677146,0.08443947
2024_08_04_20_24_04_557,0.1,0.2277765,1526,1678,5.72472,-19.98108,0.7410828,0.03535346,0.05623546,0.1037552,0.23,-0.007100384,0.04645299,0.08248314
2024_08_04_20_24_04_591,0.1,0.2427947,1541,1696,5.73224,-19.98037,0.7411994,0.03527303,0.05772467,0.1066719,0.22,-0.008261735,0.0470442,0.08618586
2024_08_04_20_24_04_626,0.1,0.25531,1557,1715,5.739861,-19.97962,0.7413194,0.03516331,0.05925956,0.1098272,0.22,-0.008990915,0.04724233,0.08946431
2024_08_04_20_24_04_666,0.1,0.2578129,1573,1736,5.748033,-19.97875,0.7414069,0.03492949,0.06085276,0.1132637,0.22,-0.01994103,0.03643728,0.08371773
2024_08_04_20_24_04_704,0.1,0.2578129,1590,1757,5.756621,-19.97762,0.7413056,0.03401709,0.06200281,0.1165825,0.22,-0.04934917,0.01046075,0.07464979
2024_08_04_20_24_04_743,0.1,0.2578129,1607,1777,5.764489,-19.97634,0.7412336,0.03233344,0.06219774,0.1193528,0.21,-0.04693966,0.005467315,0.07081655
2024_08_04_20_24_04_781,0.1,0.2578129,1623,1797,5.772258,-19.97504,0.7411557,0.03076377,0.06225957,0.1220697,0.2,-0.04262793,0.002526156,0.06809856
2024_08_04_20_24_04_822,0.1,0.2578129,1639,1816,5.779621,-19.97379,0.7410793,0.02935017,0.06224036,0.1246264,0.19,-0.04011194,0.000586234,0.0663768
2024_08_04_20_24_04_854,0.1,0.2578129,1653,1833,5.786273,-19.97268,0.741009,0.02811872,0.06218163,0.1269241,0.19,-0.03871223,-0.000369911,0.06489098
2024_08_04_20_24_04_892,0.1,0.2578129,1668,1851,5.793395,-19.97146,0.7409337,0.02683028,0.06208981,0.1293748,0.19,-0.03737768,-0.001093346,0.06399299
2024_08_04_20_24_04_934,0.1,0.2703283,1684,1871,5.801178,-19.97011,0.7408521,0.02544917,0.06196874,0.1320757,0.19,-0.03655139,-0.001212525,0.06653377
2024_08_04_20_24_04_975,0.1,0.2828434,1699,1889,5.808322,-19.96885,0.7407809,0.02419588,0.06184372,0.1347581,0.18,-0.036336,-0.001541743,0.06970587
2024_08_04_20_24_05_014,0.1,0.2928556,1714,1908,5.815576,-19.96754,0.7407104,0.02292556,0.06170548,0.1376204,0.18,-0.03635883,-0.001849062,0.07200174
2024_08_04_20_24_05_054,0.1,0.2953585,1730,1928,5.822955,-19.96621,0.7406398,0.02165896,0.06153709,0.1405814,0.18,-0.02728506,-0.01083273,0.07706119
2024_08_04_20_24_05_090,0.1,0.2978616,1742,1943,5.829007,-19.96514,0.740588,0.02092126,0.06110601,0.1432019,0.18,-0.02583938,-0.01088032,0.07685066
2024_08_04_20_24_05_129,0.1,0.2978616,1756,1961,5.835495,-19.96399,0.7404948,0.02022298,0.06055048,0.1460238,0.18,-0.02011646,-0.01734141,0.07599227
2024_08_04_20_24_05_168,0.1,0.2978616,1771,1979,5.842655,-19.9627,0.7403128,0.01960246,0.0597834,0.1491376,0.18,-0.01968605,-0.01723753,0.07618066
2024_08_04_20_24_05_205,0.1,0.2978616,1785,1997,5.849274,-19.96151,0.740146,0.01902829,0.05907744,0.1520281,0.18,-0.01969858,-0.01717636,0.07638291
2024_08_04_20_24_05_243,0.1,0.2978616,1798,2014,5.85588,-19.96031,0.7399806,0.01845517,0.05837521,0.1549251,0.17,-0.01947577,-0.01677388,0.07668688
2024_08_04_20_24_05_279,0.1,0.2978616,1811,2030,5.861779,-19.95923,0.7398334,0.01794225,0.05774807,0.1575238,0.17,-0.01950462,-0.01693774,0.07672436
2024_08_04_20_24_05_313,0.1,0.2978616,1824,2047,5.868015,-19.95803,0.7396783,0.01739896,0.05708328,0.1602834,0.17,-0.01981885,-0.01685116,0.07681416
