2024_08_04_20_53_44_417,0.5,0.137667,2259,2312,5.957359,-19.99629,0.7363065,0.01204921,0.05337255,0.04847752,0.91,-0.09548575,-0.08165646,0.2343626,-0.2762079,-0.01819432,-0.1149103,,,
2024_08_04_20_53_44_465,0.5,0.1501823,2358,2421,5.999496,-19.99371,0.7339116,0.01070218,0.04714416,0.0586721,0.9,-0.02057496,-0.1436047,0.210289,-0.2290606,-0.1214445,0.01810677,,,
2024_08_04_20_53_44_499,0.5,0.1501823,2439,2506,6.033232,-19.99177,0.7317668,0.01205293,0.04334858,0.06760594,0.91,0.03787208,-0.08973217,0.2519869,0.07885694,-0.1149774,0.01167506,,,
2024_08_04_20_53_44_534,0.5,0.1501823,2512,2587,6.064478,-19.98995,0.7293145,0.01463141,0.03930308,0.07582126,0.91,0.07407188,-0.1223193,0.2387126,0.1450777,-0.08756667,-0.12758,,,
2024_08_04_20_53_44_569,0.5,0.1501823,2587,2669,6.096762,-19.98788,0.7266698,0.01755183,0.03492354,0.08398225,0.92,0.07509543,-0.1203284,0.2315066,-0.02843141,-0.00552088,-0.1137033,,,
2024_08_04_20_53_44_603,0.5,0.1501823,2660,2750,6.128195,-19.98563,0.7241047,0.02075455,0.03205582,0.09183218,0.93,0.1013576,-0.06461141,0.2453649,0.3755092,-0.1396015,-0.1448952,,,
2024_08_04_20_53_44_644,0.5,0.1601943,2748,2845,6.165603,-19.98296,0.7210764,0.02571175,0.02882572,0.102259,0.93,0.1507798,-0.1043597,0.2956398,0.02497434,-0.316143,0.003578141,,,
2024_08_04_20_53_44_680,0.5,0.1626974,2832,2933,6.200298,-19.98055,0.7182587,0.03167297,0.02467768,0.1133308,0.93,0.1536457,-0.1022034,0.307268,-0.223279,-0.009052455,-0.07676706,,,
2024_08_04_20_53_44_717,0.5,0.1626974,2915,3019,6.233987,-19.97789,0.7155213,0.03742114,0.02057559,0.12436,0.93,0.1511403,-0.1044929,0.3128254,0.01168251,0.02623349,-0.02442673,,,
2024_08_04_20_53_44_753,0.5,0.1677034,3000,3108,6.268575,-19.97478,0.712722,0.04318742,0.01621837,0.1358968,0.93,0.1502874,-0.1041512,0.3229961,0.01847744,0.06155669,0.03137067,,,
2024_08_04_20_53_44_790,0.5,0.1677034,3090,3194,6.302478,-19.97127,0.7110561,0.04756672,0.0146948,0.1475908,0.89,0.03406573,0.05559557,0.2919635,-2.063274,0.5604923,0.3351504,,,
2024_08_04_20_53_44_824,0.5,0.1677034,3176,3269,6.331911,-19.96743,0.7112781,0.04552994,0.01254695,0.1580149,0.86,-0.1810304,-0.1577621,0.3738784,-0.5213022,0.6169081,0.2062321,,,
2024_08_04_20_53_44_860,0.5,0.1677034,3305,3352,6.362951,-19.96302,0.7115411,0.03827335,0.005538365,0.1718256,0.85,-0.2278993,-0.2027821,0.3933443,-0.4034042,0.2983958,-0.4359707,,,
2024_08_04_20_53_44_897,0.5,0.1727097,3393,3436,6.394357,-19.9573,0.7120549,0.0324895,6.282759,0.183421,0.9,-0.1119263,-0.1062905,0.3272224,1.449406,-0.3284812,-0.39481,,,
2024_08_04_20_53_44_934,0.5,0.1777157,3475,3528,6.429324,-19.95078,0.7129348,0.02861087,6.278675,0.1962313,0.95,-0.09448315,-0.0912427,0.3526311,0.9974241,0.007003545,-0.08660554,,,
